Name,CSGOTM Buy Order Price $,Steam Buy Order Price $,profit margin,Total sales today
AK-47 | Cartel (Factory New),11.7963,9.537640000000001,23.68153966809398,38,
StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested),15.9381,12.86712,23.866879301661914,21,
AWP | Corticera (Field-Tested),9.9342,5.86684,69.3279516741551,63,
Glock-18 | Neo-Noir (Battle-Scarred),10.6101,7.889,34.49233109392824,47,
Glock-18 | Neo-Noir (Well-Worn),14.966999999999999,11.920440000000001,25.55744586609217,71,
SSG 08 | Dragonfire (Well-Worn),10.4859,8.66824,20.969193284911352,22,
M4A4 | 龍王 (Dragon King) (Battle-Scarred),7.5582,6.047160000000001,24.987597483777495,41,
AK-47 | Phantom Disruptor (Battle-Scarred),8.126100000000001,6.6332,22.50648254236267,140,
FAMAS | Commemoration (Factory New),16.5564,13.530440000000002,22.36409163338367,26,
Glock-18 | Neo-Noir (Field-Tested),22.4046,16.273880000000002,37.67214702332816,110,
AWP | Electric Hive (Field-Tested),15.9075,13.16336,20.846805071045686,29,
M4A1-S | Printstream (Battle-Scarred),37.5084,30.53204,22.849308464157662,34,
StatTrak™ Glock-18 | Vogue (Minimal Wear),23.8275,19.71284,20.872994454375934,28,
M4A4 | Griffin (Factory New),8.2089,6.30476,30.201625438557535,30,
Desert Eagle | Code Red (Minimal Wear),35.254799999999996,27.18324,29.693149161027137,23,
Desert Eagle | Kumicho Dragon (Battle-Scarred),9.1305,7.0582400000000005,29.35944371401368,25,
M4A1-S | Cyrex (Minimal Wear),23.742900000000002,6.22104,281.6548358473825,121,
M4A1-S | Control Panel (Minimal Wear),8.3457,6.8586,21.682267518152404,23,
P250 | See Ya Later (Factory New),11.6235,8.76484,32.615084816151814,28,
M4A1-S | Golden Coil (Well-Worn),12.7134,9.66,31.608695652173914,41,
Galil AR | Chatterbox (Well-Worn),8.2728,6.09224,35.79241789555237,27,
StatTrak™ AWP | Exoskeleton (Field-Tested),8.7093,7.1355200000000005,22.05557548714039,120,
AWP | Wildfire (Battle-Scarred),23.2965,19.281360000000003,20.82394602870336,36,
FAMAS | Commemoration (Minimal Wear),13.248000000000001,9.96268,32.97626743004894,41,
Aces High Pin,8.072099999999999,6.44,25.34316770186333,25,
Glock-18 | Bullet Queen (Battle-Scarred),10.0206,8.2754,21.089010803103182,39,
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear),16.9344,13.60772,24.4470050824091,30,
M4A4 | The Emperor (Battle-Scarred),12.15,9.63424,26.11269804364434,73,
AK-47 | Redline (Well-Worn),25.2081,11.72724,114.95339056760159,53,
M4A1-S | Guardian (Minimal Wear),7.4943,6.22104,20.46699587207283,29,
M4A1-S | Golden Coil (Field-Tested),13.1481,10.6904,22.989785227867984,70,
AK-47 | Blue Laminate (Field-Tested),20.216700000000003,4.68832,331.21416626851413,227,
